"","date","hour","avg_level","max_level","count"
"185","2019-05-10",15,19.5454545454545,31,11
"186","2019-05-10",16,24.7272727272727,43,11
"187","2019-05-10",17,37.9090909090909,78,11
"188","2019-05-10",18,50.6666666666667,65,9
"189","2019-05-10",19,56.1111111111111,79,9
"190","2019-05-10",20,51.75,76,8
"191","2019-05-10",21,45.3,88,10
"192","2019-05-10",22,45.2,92,10
"193","2019-05-10",23,57.3,121,10
"194","2019-05-11",2,48,62,6
"195","2019-05-11",3,63.8888888888889,150,9
"196","2019-05-11",4,64.6,147,10
"197","2019-05-11",5,60.7,102,10
"198","2019-05-11",6,58.5,90,10
"199","2019-05-11",7,62,78,10
"200","2019-05-11",8,71.0909090909091,123,11
"201","2019-05-11",9,67.3,104,10
"202","2019-05-11",10,72.5,108,10
"203","2019-05-11",11,77.2,117,10
"204","2019-05-11",12,62.9090909090909,77,11
"205","2019-05-11",13,41.3333333333333,69,12
"206","2019-05-11",14,38.1666666666667,59,12
"207","2019-05-11",15,42.4166666666667,70,12
"208","2019-05-11",16,43.4166666666667,85,12
"209","2019-05-11",17,36.9166666666667,58,12
"210","2019-05-11",18,38.75,90,12
"211","2019-05-11",19,38.25,85,12
"212","2019-05-11",20,62.4545454545455,97,11
"213","2019-05-11",21,97.6,114,10
"214","2019-05-11",22,116,158,10
"215","2019-05-11",23,113.1,179,10
"216","2019-05-12",2,91.625,137,8
"217","2019-05-12",3,92.2727272727273,112,11
"218","2019-05-12",4,81.5454545454545,114,11
"219","2019-05-12",5,76.8,110,10
"220","2019-05-12",6,80.4,108,10
"221","2019-05-12",7,79.6666666666667,113,9
"222","2019-05-12",8,80.7,111,10
"223","2019-05-12",9,83.0833333333333,126,12
"224","2019-05-12",10,80.5,114,12
"225","2019-05-12",11,77.9090909090909,92,11
"226","2019-05-12",12,81.9166666666667,132,12
"227","2019-05-12",13,73.75,113,12
"228","2019-05-12",14,54.1818181818182,105,11
"229","2019-05-12",15,46,64,12
"230","2019-05-12",16,52.5,64,12
"231","2019-05-12",17,59.5833333333333,71,12
"232","2019-05-12",18,63.6666666666667,75,12
"233","2019-05-12",19,74.9090909090909,89,11
"234","2019-05-12",20,80.3636363636364,99,11
"235","2019-05-12",21,78.8,127,10
"236","2019-05-12",22,71.5454545454545,109,11
"237","2019-05-12",23,70.1,96,10
"238","2019-05-13",2,72.625,84,8
"239","2019-05-13",3,75.3636363636364,99,11
"240","2019-05-13",4,72.0909090909091,88,11
"241","2019-05-13",5,67.8181818181818,94,11
"242","2019-05-13",6,70.0909090909091,95,11
"243","2019-05-13",7,70.2727272727273,97,11
"244","2019-05-13",8,69.9166666666667,92,12
"245","2019-05-13",9,70.4,93,10
"246","2019-05-13",10,74.8181818181818,115,11
"247","2019-05-13",11,73.5555555555556,86,9
"248","2019-05-13",12,81.6666666666667,104,6
"249","2019-05-13",13,79.2857142857143,90,7
"250","2019-05-13",14,79.2222222222222,98,9
"251","2019-05-13",15,90.1,137,10
"252","2019-05-13",16,81.6363636363636,107,11
"253","2019-05-13",17,97.6363636363636,132,11
"254","2019-05-13",18,103.666666666667,169,12
"255","2019-05-13",19,94.3076923076923,166,13
"256","2019-05-13",20,72.8333333333333,122,12
"257","2019-05-13",21,65.9166666666667,89,12
"258","2019-05-13",22,68.5384615384615,87,13
"259","2019-05-13",23,70.8461538461538,103,13
"260","2019-05-14",2,45.5,62,10
"261","2019-05-14",3,53.8181818181818,109,11
"262","2019-05-14",4,63.3333333333333,166,12
"263","2019-05-14",5,57.8333333333333,122,12
"264","2019-05-14",6,53.25,99,12
"265","2019-05-14",7,54.5,102,12
"266","2019-05-14",8,63.8461538461538,123,13
"267","2019-05-14",9,60.9230769230769,103,13
"268","2019-05-14",10,62.9230769230769,102,13
"269","2019-05-14",11,66.0769230769231,98,13
"270","2019-05-14",12,79.1538461538462,110,13
"271","2019-05-14",13,80.6428571428571,107,14
"272","2019-05-14",14,76.7142857142857,98,14
"273","2019-05-14",15,64.1428571428571,78,14
"274","2019-05-14",16,59.3571428571429,74,14
"275","2019-05-14",17,66.25,88,12
"276","2019-05-15",9,48.0769230769231,70,13
"277","2019-05-15",10,55.0769230769231,77,13
"278","2019-05-15",11,63.3846153846154,102,13
"279","2019-05-15",12,76.5384615384615,112,13
"280","2019-05-15",13,75.8461538461538,116,13
"281","2019-05-15",14,74,107,13
"282","2019-05-15",15,59.4166666666667,78,12
"283","2019-05-15",16,55.5,78,12
"284","2019-05-15",17,60.75,83,12
"285","2019-05-15",18,68.9166666666667,105,12
"286","2019-05-15",19,86.5454545454545,138,11
"287","2019-05-15",20,91.6666666666667,182,12
"288","2019-05-15",21,67.2727272727273,138,11
"289","2019-05-15",22,59.9,83,10
"290","2019-05-15",23,73.2727272727273,95,11
"291","2019-05-16",2,76,119,7
"292","2019-05-16",3,75.5384615384615,96,13
"293","2019-05-16",4,70.1538461538462,95,13
"294","2019-05-16",5,68.6923076923077,92,13
"295","2019-05-16",6,69.7692307692308,96,13
"296","2019-05-16",7,73.2307692307692,98,13
"297","2019-05-16",8,71.2307692307692,97,13
"298","2019-05-16",9,70.2307692307692,98,13
"299","2019-05-16",10,67.6923076923077,91,13
"300","2019-05-16",11,75.3846153846154,97,13
"301","2019-05-16",12,82.4615384615385,96,13
"302","2019-05-16",13,88.3846153846154,117,13
"303","2019-05-16",14,92.0833333333333,112,12
"304","2019-05-16",15,63.8461538461538,87,13
"305","2019-05-16",16,60,155,13
"306","2019-05-16",17,55.9230769230769,147,13
"307","2019-05-16",18,62.75,119,12
"308","2019-05-16",19,50.8461538461538,88,13
"309","2019-05-16",20,43.9,63,10
"310","2019-05-16",21,42.0833333333333,60,12
"311","2019-05-16",22,39.5833333333333,53,12
"312","2019-05-16",23,37.6153846153846,53,13
"313","2019-05-17",2,38.8,48,10
"314","2019-05-17",3,38.3846153846154,45,13
"315","2019-05-17",4,37.75,43,12
"316","2019-05-17",5,40,45,12
"317","2019-05-17",6,42.3333333333333,53,12
"318","2019-05-17",7,41.8333333333333,48,12
"319","2019-05-17",8,42.4166666666667,51,12
"320","2019-05-17",9,42.2307692307692,55,13
"321","2019-05-17",10,47.4166666666667,57,12
"322","2019-05-17",11,50.9090909090909,67,11
"323","2019-05-17",12,51.2727272727273,64,11
"324","2019-05-17",13,46.7777777777778,61,9
"325","2019-05-17",14,45.9,67,10
"326","2019-05-17",15,45.8,74,10
"327","2019-05-17",16,35.6,44,10
"328","2019-05-17",17,29.8333333333333,51,12
"329","2019-05-17",18,29,41,12
"330","2019-05-17",19,21.1666666666667,32,12
"331","2019-05-17",20,19.2727272727273,39,11
"332","2019-05-17",21,20.2727272727273,36,11
"333","2019-05-17",22,20.5,34,12
"334","2019-05-17",23,19.6363636363636,29,11
